school_district,rep_name,rep_district,rep_email,rep_party,rep_stance,rep_role,rep_address,enrollment,poverty_rate,minority_rate
Akron City Schools,Scott Oelslager,48,rep48@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",20000,72,38
Alexander Local Schools,Kevin Ritter,94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",1800,28,6
Amherst Exempted Village Schools,Jodi Salvo,51,rep51@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",3800,18,8
Anthony Wayne Local Schools,Josh Williams,44,rep44@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",5200,18,12
Archbold Area Local Schools,James M. Hoops,81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",1900,22,8
Ashland City Schools,Melanie Miller,67,rep67@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",3600,42,10
Ashtabula Area City Schools,David Thomas,65,rep65@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",3400,85,25
Athens City Schools,Kevin Ritter,94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",2500,35,10
Aurora City Schools,Scott Oelslager,48,rep48@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",3800,6,8
Austintown Local Schools,Lauren McNally,58,rep58@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",4700,42,25
Avon Lake City Schools,"Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",4200,8,12
Barberton City Schools,Scott Oelslager,48,rep48@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",4200,48,18
Bay Village City Schools,Erika White,41,rep41@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",2500,6,10
Beachwood City Schools,Juanita O. Brent,18,rep18@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",1500,10,35
Beaver Local Schools,Monica Robb Blasdel,79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",2600,35,6
Bedford City Schools,Erika White,41,rep41@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",2400,38,35
Bellaire Local Schools,Ty Moore,95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",1200,60,7
Berea City Schools,Phil Plummer,39,rep39@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",3000,18,22
Bethel-Tate Local Schools,Adam C. Bird,63,rep63@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",2000,35,10
Big Walnut Local Schools,Beth Lear,61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",4100,12,10
