zip_code,school_district,rep_name,rep_email,rep_role,rep_district,rep_party,rep_stance,rep_career,rep_address,enrollment,poverty_rate,minority_rate,avg_teacher_salary,avg_teacher_ex,percent_masters
44113,Cleveland Metro Schools,Terrance Upchurch,rep20@ohiohouse.gov,State Rep,20,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",36000,100%,82%,$65000,11,60%
44107,Lakewood City Schools,Michael Skindell,rep13@ohiohouse.gov,State Rep,13,D,Friendly,Retiring,"77 S High St, Columbus, OH 43215",4500,35%,22%,$74000,16,72%
44136,Strongsville City Schools,Tom Patton,rep17@ohiohouse.gov,State Rep,17,R,Hostile,Legacy,"77 S High St, Columbus, OH 43215",5400,12%,15%,$78500,15,78%
44122,Beachwood City Schools,Juanita Brent,rep22@ohiohouse.gov,State Rep,22,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",1500,10%,35%,$88000,18,85%
44139,Solon City Schools,Phil Robinson,rep19@ohiohouse.gov,State Rep,19,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",4400,8%,42%,$92000,17,88%
44130,Parma City Schools,Sean Brennan,rep14@ohiohouse.gov,State Rep,14,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",9100,45%,20%,$68000,13,62%
44117,Euclid City Schools,Darnell Brewer,rep18@ohiohouse.gov,State Rep,18,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",4800,98%,92%,$64000,11,55%
44145,Westlake City Schools,Bride Rose Sweeney,rep16@ohiohouse.gov,State Rep,16,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",3600,8%,18%,$79000,16,80%
44060,Mentor Exempted Village,Daniel Troy,rep23@ohiohouse.gov,State Rep,23,D,Friendly,Legacy,"77 S High St, Columbus, OH 43215",7300,18%,12%,$75000,15,74%
44312,Akron City Schools,Tavia Galonski,rep33@ohiohouse.gov,State Rep,33,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",20000,90%,55%,$70000,14,60%
44236,Hudson City Schools,Casey Weinstein,rep34@ohiohouse.gov,State Rep,34,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",4600,5%,15%,$82000,16,85%
44708,Canton City Schools,Scott Oelslager,rep48@ohiohouse.gov,State Rep,48,R,Hostile,Legacy,"77 S High St, Columbus, OH 43215",8000,95%,50%,$62000,13,55%
43604,Toledo Public Schools,Elgin Rogers,rep44@ohiohouse.gov,State Rep,44,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",22000,88%,60%,$63000,12,62%
43560,Sylvania City Schools,Derek Merrin,rep42@ohiohouse.gov,State Rep,42,R,Hostile,Legacy,"77 S High St, Columbus, OH 43215",7600,15%,22%,$76000,16,82%
43551,Perrysburg Schools,Haraz Ghanbari,rep75@ohiohouse.gov,State Rep,75,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",5800,8%,15%,$78000,15,80%
zip_code,school_district,rep_name,rep_email,rep_role,rep_district,rep_party,rep_stance,rep_career,rep_address,enrollment,poverty_rate,minority_rate,avg_teacher_salary,avg_teacher_ex,percent_masters
43215,Columbus City Schools,Dontavius Jarrells,rep01@ohiohouse.gov,State Rep,1,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",46000,100%,70%,$67000,13,68%
43221,Upper Arlington City Schools,Allison Russo,rep07@ohiohouse.gov,State Rep,7,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",6200,3%,15%,$94000,18,92%
43016,Dublin City Schools,Beth Liston,rep08@ohiohouse.gov,State Rep,8,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",16500,10%,35%,$93000,17,88%
43035,Olentangy Local Schools,Brian Lorenz,rep60@ohiohouse.gov,State Rep,60,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",22500,6%,25%,$85000,15,80%
43209,Bexley City Schools,Latyna Humphrey,rep02@ohiohouse.gov,State Rep,2,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",2400,5%,18%,$86000,17,85%
43230,Gahanna-Jefferson Schools,Munira Abdullahi,rep09@ohiohouse.gov,State Rep,9,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",7800,28%,42%,$82000,15,78%
43054,New Albany-Plain Local,Dave Dobos,rep10@ohiohouse.gov,State Rep,10,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",5100,5%,25%,$91000,16,85%
43147,Pickerington Local Schools,Jeff LaRe,rep73@ohiohouse.gov,State Rep,73,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",10800,25%,45%,$76000,14,74%
43085,Worthington City Schools,Beth Liston,rep08@ohiohouse.gov,State Rep,8,D,Friendly,Re-election,"77 S High St, Columbus, OH 43215",10500,18%,28%,$88000,16,84%
45701,Athens City Schools,Jay Edwards,rep94@ohiohouse.gov,State Rep,94,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2500,35%,10%,$58000,14,68%
45750,Marietta City Schools,Jay Edwards,rep94@ohiohouse.gov,State Rep,94,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2300,45%,8%,$61000,15,65%
45601,Chillicothe City Schools,Mark Johnson,rep92@ohiohouse.gov,State Rep,92,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",2800,60%,15%,$60000,13,62%
45662,Portsmouth City Schools,Justin Pizzulli,rep90@ohiohouse.gov,State Rep,90,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",1500,95%,18%,$56000,11,55%
45631,Gallipolis City Schools,Jay Edwards,rep94@ohiohouse.gov,State Rep,94,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",1900,55%,8%,$59000,13,60%
43138,Logan-Hocking Local,Mark Johnson,rep92@ohiohouse.gov,State Rep,92,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",3800,55%,5%,$62000,15,60%
zip_code,school_district,rep_name,rep_email,rep_role,rep_district,rep_party,rep_stance,rep_career,rep_address,enrollment,poverty_rate,minority_rate,avg_teacher_salary,avg_teacher_ex,percent_masters
45011,Hamilton City Schools,Sara Carruthers,rep47@ohiohouse.gov,State Rep,47,R,Hostile,Re-election,"77 S High St, Columbus, OH 43215",8900,100%,45%,$62500,13,65%
